Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,"The status of the session:
 pass - Application is allowed
 block - Application is blocked (silent)
 reject - Quarantine
 reset - Application is blocked and Reset was sent
Sometimes, there is a block page for blocking",string,16,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
aiargs,,string,128,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
aifunc,,string,64,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
aimessage,,string,512,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
aimethod,,string,64,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
aiuri,,string,128,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
aiuser,,string,64,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
app,Application name,string,96,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
appcat,Application category name,string,64,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
appid,Application ID,uint32,10,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
apprisk,Application risk level,string,16,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
appstatus,,string,12,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
ccertissuer,,string,64,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
cloudaiagent,,string,1024,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
clouddevice,,string,256,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
cloudgenai,,string,1024,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
clouduser,User login ID detected by the Deep Application Control feature,string,256,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
craction,Client Reputation Action,uint32,10,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
crlevel,Client Reputation Level,string,10,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
crscore,Client Reputation Score,uint32,10,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
date,Date,string,10,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
dcgeo,,string,64,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
devid,Deivce ID,string,16,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
dstintf,Destination Interface,string,64,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
dstintfrole,"Destination Interface's assigned role (LAN, WAN, etc.)",string,10,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
dstmac,,string,17,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
dstzone,,string,32,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
ethertype,,uint16,10,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
eventtime,Event Time,uint64,20,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
eventtype,App Control Event Type,string,32,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
filename,File name,string,256,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
forwardedfor,Forwarded For,string,128,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
level,Log level,string,11,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
logid,Log ID,string,10,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
model,,string,64,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
msg,Log message,string,512,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
parameters,,string,512,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
policyid,Policy ID,uint32,10,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
policymode,,string,8,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
policytype,,string,24,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
poluuid,,string,37,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
profile,,string,36,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
profilegroup,,string,48,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
profiletype,Profile Type,string,36,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
prompt,,string,512,28738 - LOGID_APP_CTRL_DETECT_L2,28738,LOGID_APP_CTRL_DETECT_L2,Ethernet protocols detection,APP-CTRL,signature,Warning,8.0.0
