Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,35017 - LOG_ID_HA_SYNC_OCRDB,35017,LOG_ID_HA_SYNC_OCRDB,HA secondary synchronized OCR database,Event,ha,Notice,8.0.0
devid,Device ID,string,16,35017 - LOG_ID_HA_SYNC_OCRDB,35017,LOG_ID_HA_SYNC_OCRDB,HA secondary synchronized OCR database,Event,ha,Notice,8.0.0
eventtime,Event time,uint64,20,35017 - LOG_ID_HA_SYNC_OCRDB,35017,LOG_ID_HA_SYNC_OCRDB,HA secondary synchronized OCR database,Event,ha,Notice,8.0.0
level,Log Level,string,11,35017 - LOG_ID_HA_SYNC_OCRDB,35017,LOG_ID_HA_SYNC_OCRDB,HA secondary synchronized OCR database,Event,ha,Notice,8.0.0
logdesc,Log Description,string,4096,35017 - LOG_ID_HA_SYNC_OCRDB,35017,LOG_ID_HA_SYNC_OCRDB,HA secondary synchronized OCR database,Event,ha,Notice,8.0.0
logid,Log ID,string,10,35017 - LOG_ID_HA_SYNC_OCRDB,35017,LOG_ID_HA_SYNC_OCRDB,HA secondary synchronized OCR database,Event,ha,Notice,8.0.0
msg,Log Message,string,4096,35017 - LOG_ID_HA_SYNC_OCRDB,35017,LOG_ID_HA_SYNC_OCRDB,HA secondary synchronized OCR database,Event,ha,Notice,8.0.0
subtype,Log Subtype,string,20,35017 - LOG_ID_HA_SYNC_OCRDB,35017,LOG_ID_HA_SYNC_OCRDB,HA secondary synchronized OCR database,Event,ha,Notice,8.0.0
time,Time,string,8,35017 - LOG_ID_HA_SYNC_OCRDB,35017,LOG_ID_HA_SYNC_OCRDB,HA secondary synchronized OCR database,Event,ha,Notice,8.0.0
type,Log Type,string,16,35017 - LOG_ID_HA_SYNC_OCRDB,35017,LOG_ID_HA_SYNC_OCRDB,HA secondary synchronized OCR database,Event,ha,Notice,8.0.0
tz,Time zone,string,5,35017 - LOG_ID_HA_SYNC_OCRDB,35017,LOG_ID_HA_SYNC_OCRDB,HA secondary synchronized OCR database,Event,ha,Notice,8.0.0
vd,Virtual Domain Name,string,32,35017 - LOG_ID_HA_SYNC_OCRDB,35017,LOG_ID_HA_SYNC_OCRDB,HA secondary synchronized OCR database,Event,ha,Notice,8.0.0
