Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
date,Date,string,10,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
devid,Device ID,string,16,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
dstport,Destination Protocol Port,uint16,5,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
eventtime,Event time,uint64,20,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
level,Log Level,string,11,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
logdesc,Log Description,string,4096,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
logid,Log ID,string,10,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
msg,Log Message,string,4096,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
pid,Process ID,uint32,10,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
server,Server IP Address,string,64,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
severity,,string,10,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
status,Status,string,23,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
subtype,Log Subtype,string,20,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
time,Time,string,8,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
type,Log Type,string,16,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
tz,Time zone,string,5,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
vd,Virtual Domain Name,string,32,38423 - LOGID_EVENT_ICBD_UPDATE_FAILURE,38423,LOGID_EVENT_ICBD_UPDATE_FAILURE,ICB service status update failure,Event,system,Error,8.0.0
