Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43056 - LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,43056,LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,Auth server reachability update,Event,user,Notice,8.0.0
devid,Device ID,string,16,43056 - LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,43056,LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,Auth server reachability update,Event,user,Notice,8.0.0
eventtime,Event time,uint64,20,43056 - LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,43056,LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,Auth server reachability update,Event,user,Notice,8.0.0
level,Log Level,string,11,43056 - LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,43056,LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,Auth server reachability update,Event,user,Notice,8.0.0
logdesc,Log Description,string,4096,43056 - LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,43056,LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,Auth server reachability update,Event,user,Notice,8.0.0
logid,Log ID,string,10,43056 - LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,43056,LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,Auth server reachability update,Event,user,Notice,8.0.0
msg,Log Message,string,4096,43056 - LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,43056,LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,Auth server reachability update,Event,user,Notice,8.0.0
subtype,Log Subtype,string,20,43056 - LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,43056,LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,Auth server reachability update,Event,user,Notice,8.0.0
time,Time,string,8,43056 - LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,43056,LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,Auth server reachability update,Event,user,Notice,8.0.0
type,Log Type,string,16,43056 - LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,43056,LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,Auth server reachability update,Event,user,Notice,8.0.0
tz,Time zone,string,5,43056 - LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,43056,LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,Auth server reachability update,Event,user,Notice,8.0.0
vd,Virtual Domain Name,string,32,43056 - LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,43056,LOG_ID_EVENT_AUTH_SERVER_REACHABILITY_UPDATE,Auth server reachability update,Event,user,Notice,8.0.0
