Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,45134 - LOG_ID_EC_SHM_ENDPOINT_UPDATE,45134,LOG_ID_EC_SHM_ENDPOINT_UPDATE,Endpoint ZTNA information has been updated,Event,endpoint,Information,8.0.0
devid,Device ID,string,16,45134 - LOG_ID_EC_SHM_ENDPOINT_UPDATE,45134,LOG_ID_EC_SHM_ENDPOINT_UPDATE,Endpoint ZTNA information has been updated,Event,endpoint,Information,8.0.0
eventtime,Event time,uint64,20,45134 - LOG_ID_EC_SHM_ENDPOINT_UPDATE,45134,LOG_ID_EC_SHM_ENDPOINT_UPDATE,Endpoint ZTNA information has been updated,Event,endpoint,Information,8.0.0
level,Log Level,string,11,45134 - LOG_ID_EC_SHM_ENDPOINT_UPDATE,45134,LOG_ID_EC_SHM_ENDPOINT_UPDATE,Endpoint ZTNA information has been updated,Event,endpoint,Information,8.0.0
logdesc,Log Description,string,4096,45134 - LOG_ID_EC_SHM_ENDPOINT_UPDATE,45134,LOG_ID_EC_SHM_ENDPOINT_UPDATE,Endpoint ZTNA information has been updated,Event,endpoint,Information,8.0.0
logid,Log ID,string,10,45134 - LOG_ID_EC_SHM_ENDPOINT_UPDATE,45134,LOG_ID_EC_SHM_ENDPOINT_UPDATE,Endpoint ZTNA information has been updated,Event,endpoint,Information,8.0.0
msg,Log Message,string,4096,45134 - LOG_ID_EC_SHM_ENDPOINT_UPDATE,45134,LOG_ID_EC_SHM_ENDPOINT_UPDATE,Endpoint ZTNA information has been updated,Event,endpoint,Information,8.0.0
subtype,Log Subtype,string,20,45134 - LOG_ID_EC_SHM_ENDPOINT_UPDATE,45134,LOG_ID_EC_SHM_ENDPOINT_UPDATE,Endpoint ZTNA information has been updated,Event,endpoint,Information,8.0.0
time,Time,string,8,45134 - LOG_ID_EC_SHM_ENDPOINT_UPDATE,45134,LOG_ID_EC_SHM_ENDPOINT_UPDATE,Endpoint ZTNA information has been updated,Event,endpoint,Information,8.0.0
type,Log Type,string,16,45134 - LOG_ID_EC_SHM_ENDPOINT_UPDATE,45134,LOG_ID_EC_SHM_ENDPOINT_UPDATE,Endpoint ZTNA information has been updated,Event,endpoint,Information,8.0.0
tz,Time zone,string,5,45134 - LOG_ID_EC_SHM_ENDPOINT_UPDATE,45134,LOG_ID_EC_SHM_ENDPOINT_UPDATE,Endpoint ZTNA information has been updated,Event,endpoint,Information,8.0.0
vd,Virtual Domain Name,string,32,45134 - LOG_ID_EC_SHM_ENDPOINT_UPDATE,45134,LOG_ID_EC_SHM_ENDPOINT_UPDATE,Endpoint ZTNA information has been updated,Event,endpoint,Information,8.0.0
