Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,Cellular modem active sim card state changed,Event,system,Information,8.0.0
devid,Device ID,string,16,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,Cellular modem active sim card state changed,Event,system,Information,8.0.0
eventtime,Event time,uint64,20,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,Cellular modem active sim card state changed,Event,system,Information,8.0.0
level,Log Level,string,11,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,Cellular modem active sim card state changed,Event,system,Information,8.0.0
logdesc,Log Description,string,4096,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,Cellular modem active sim card state changed,Event,system,Information,8.0.0
logid,Log ID,string,10,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,Cellular modem active sim card state changed,Event,system,Information,8.0.0
modem,,string,3,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,Cellular modem active sim card state changed,Event,system,Information,8.0.0
msg,Log Message,string,4096,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,Cellular modem active sim card state changed,Event,system,Information,8.0.0
state,State,string,64,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,Cellular modem active sim card state changed,Event,system,Information,8.0.0
subtype,Log Subtype,string,20,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,Cellular modem active sim card state changed,Event,system,Information,8.0.0
time,Time,string,8,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,Cellular modem active sim card state changed,Event,system,Information,8.0.0
type,Log Type,string,16,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,Cellular modem active sim card state changed,Event,system,Information,8.0.0
tz,Time zone,string,5,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,Cellular modem active sim card state changed,Event,system,Information,8.0.0
vd,Virtual Domain Name,string,32,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,Cellular modem active sim card state changed,Event,system,Information,8.0.0
