Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
accessctrl,,string,80,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
accessproxy,,string,80,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
action,"The status of the session:
 deny - Session was denied
 accept - Allowed Forward session
 start - Session starts (log message was created when the session was created)
 dns - DNS query return error
 ip-conn - Failed connection attempts
 close - Local-traffic session allowed
 timeout - Allowed session was timeout
 client-rst - Session reset by client
 server-rst - Session reset by server",string,16,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
agent,"User agent - eg. agent=""Mozilla/5.0""",string,1024,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
ap,Access Point name,string,36,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
app,Application name,string,96,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
appact,The security action from app control,string,16,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
appcat,Application category,string,64,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
appid,Application ID,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
applist,Application Control profile (name),string,64,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
apprisk,Application Risk Level,string,16,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
appstatus,,string,12,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
apsn,Access Point serial number,string,36,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
authserver,Remote Authentication server,string,64,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
centralnatid,central-snat-map id,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
channel,WiFi Channel,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
clientcert,,string,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
clientdeviceems,,string,16,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
clientdeviceid,,string,80,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
clientdevicemanageable,,string,16,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
clientdeviceowner,,string,80,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
clientdevicetags,,string,512,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
comment,Customized policy comment,string,1024,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
craction,Action performed by Threat Weight,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
crlevel,Threat Weight level,string,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
crscore,Threat Weight score,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
date,Date,string,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
devid,Device Serial Number,string,16,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
devtype,Device Type,string,66,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstauthserver,,string,64,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstcity,,string,64,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstcountry,Country name for the destination IP,string,64,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstdevtype,Destination Device Type,string,66,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstfamily,,string,66,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dsthwvendor,,string,66,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dsthwversion,,string,66,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstinetsvc,Internet service name for the destination,string,64,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstintf,Destination Interface,string,32,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstintfrole,"Destination Interface's assigned role (LAN, WAN, etc.)",string,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstip,Destination IP Address,ip,39,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstmac,Destination Mac Address,string,17,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstname,Destination name,string,256,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstosname,Destination OS name,string,66,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstport,Destination Protocol Port Number,uint16,5,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstregion,,string,64,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstreputation,,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstserver,Destination Server,uint8,3,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstssid,Destination SSID,string,33,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstswversion,,string,66,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstthreatfeed,,string,36,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstunauthuser,,string,66,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstunauthusersource,,string,66,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstuser,,string,256,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstuuid,UUID of the Destination Address Object,string,37,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
dstzone,,string,32,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
duration,Duration of the session,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
durationdelta,,uint32,20,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
emsconnection,,string,8,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
emstag,,string,80,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
emstag2,,string,80,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
eventtime,Epoch time in nanoseconds,uint64,20,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
fctuid,FortiClient UID,string,32,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
fwdsrv,,string,64,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
gatewayid,,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
group,User group name,string,512,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
identifier,,uint16,5,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
lanin,LAN incoming traffic in bytes,uint64,20,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
lanout,LAN outgoing traffic in bytes,uint64,20,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
level,Log Level,string,11,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
logid,Log ID,string,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
masterdstmac,Destination master MAC address,string,17,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
mastersrcmac,The master MAC address for a host that has multiple network interfaces,string,17,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
msg,Log message,string,512,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
osname,Name of the device's OS,string,66,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
pdstport,,uint16,5,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
policyid,Firewall Policy ID,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
policymode,,string,8,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
policyname,Policy name,string,36,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
policytype,Policy type,string,24,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
poluuid,UUID of the Firewall Policy,string,37,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
proto,Protocol Number,uint8,3,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
proxyapptype,,string,16,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
psrcport,,uint16,5,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
radioband,Radio Band,string,64,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
rcvdbyte,Received Bytes,uint64,20,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
rcvddelta,Delta Received Bytes,uint64,20,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
rcvdpkt,Received Packets,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
rcvdpktdelta,,uint32,20,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
realserverid,,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
replydstintf,,string,32,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
replysrcintf,,string,32,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
saasname,,string,80,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
sentbyte,Sent Bytes,uint64,20,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
sentdelta,Delta Sent Bytes,uint64,20,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
sentpkt,Sent Packets,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
sentpktdelta,,uint32,20,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
service,Name of Service,string,80,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
sessionid,Session ID,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
shaperdroprcvdbyte,Received bytes dropped by shaper,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
shaperdropsentbyte,Sent bytes dropped by shaper,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
shaperperipdropbyte,Dropped bytes per IP by shaper,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
shaperperipname,Traffic shaper name (per IP),string,36,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
shaperrcvdname,Traffic shaper name for received traffic,string,36,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
shapersentname,Traffic shaper name for sent traffic,string,36,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
shapingpolicyid,Shaping Policy ID,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
shapingpolicyname,,string,36,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
signal,,int8,4,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
snr,,int8,4,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srccity,,string,64,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srccountry,Country name for Source IP,string,64,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcdomain,,string,255,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcfamily,,string,66,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srchwvendor,,string,66,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srchwversion,,string,66,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcinetsvc,Internet service name for the source,string,64,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcintf,Source interface name,string,32,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcintfrole,"Source Interface's assigned role (LAN, WAN, etc.)",string,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcip,Source IP address,ip,39,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcmac,MAC address associated with the Source IP,string,17,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcmacvendor,,string,66,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcname,Source name,string,256,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcport,Source protocol port number,uint16,5,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcregion,,string,64,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcremote,,ip,39,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcreputation,,uint32,10,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcserver,Source server,uint8,3,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcssid,Source SSID,string,33,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcswversion,,string,66,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcthreatfeed,,string,36,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srcuuid,UUID of the Source Address Object,string,37,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
srczone,,string,32,4 - LOG_ID_TRAFFIC_OTHER_START,4,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,8.0.0
