Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
ca,,string,4096,53410 - LOG_ID_CSF_TRUSTED_LIST_UPGRADED,53410,LOG_ID_CSF_TRUSTED_LIST_UPGRADED,A system.csf.trusted-list entry was changed during the upgrade,Event,system,Information,8.0.0
certpem,,string,4096,53410 - LOG_ID_CSF_TRUSTED_LIST_UPGRADED,53410,LOG_ID_CSF_TRUSTED_LIST_UPGRADED,A system.csf.trusted-list entry was changed during the upgrade,Event,system,Information,8.0.0
cn,,string,4096,53410 - LOG_ID_CSF_TRUSTED_LIST_UPGRADED,53410,LOG_ID_CSF_TRUSTED_LIST_UPGRADED,A system.csf.trusted-list entry was changed during the upgrade,Event,system,Information,8.0.0
date,Date,string,10,53410 - LOG_ID_CSF_TRUSTED_LIST_UPGRADED,53410,LOG_ID_CSF_TRUSTED_LIST_UPGRADED,A system.csf.trusted-list entry was changed during the upgrade,Event,system,Information,8.0.0
devid,Device ID,string,16,53410 - LOG_ID_CSF_TRUSTED_LIST_UPGRADED,53410,LOG_ID_CSF_TRUSTED_LIST_UPGRADED,A system.csf.trusted-list entry was changed during the upgrade,Event,system,Information,8.0.0
eventtime,Event time,uint64,20,53410 - LOG_ID_CSF_TRUSTED_LIST_UPGRADED,53410,LOG_ID_CSF_TRUSTED_LIST_UPGRADED,A system.csf.trusted-list entry was changed during the upgrade,Event,system,Information,8.0.0
level,Log Level,string,11,53410 - LOG_ID_CSF_TRUSTED_LIST_UPGRADED,53410,LOG_ID_CSF_TRUSTED_LIST_UPGRADED,A system.csf.trusted-list entry was changed during the upgrade,Event,system,Information,8.0.0
logdesc,Log Description,string,4096,53410 - LOG_ID_CSF_TRUSTED_LIST_UPGRADED,53410,LOG_ID_CSF_TRUSTED_LIST_UPGRADED,A system.csf.trusted-list entry was changed during the upgrade,Event,system,Information,8.0.0
logid,Log ID,string,10,53410 - LOG_ID_CSF_TRUSTED_LIST_UPGRADED,53410,LOG_ID_CSF_TRUSTED_LIST_UPGRADED,A system.csf.trusted-list entry was changed during the upgrade,Event,system,Information,8.0.0
msg,Log Message,string,4096,53410 - LOG_ID_CSF_TRUSTED_LIST_UPGRADED,53410,LOG_ID_CSF_TRUSTED_LIST_UPGRADED,A system.csf.trusted-list entry was changed during the upgrade,Event,system,Information,8.0.0
name,Display Name of the Connection,string,128,53410 - LOG_ID_CSF_TRUSTED_LIST_UPGRADED,53410,LOG_ID_CSF_TRUSTED_LIST_UPGRADED,A system.csf.trusted-list entry was changed during the upgrade,Event,system,Information,8.0.0
subtype,Log Subtype,string,20,53410 - LOG_ID_CSF_TRUSTED_LIST_UPGRADED,53410,LOG_ID_CSF_TRUSTED_LIST_UPGRADED,A system.csf.trusted-list entry was changed during the upgrade,Event,system,Information,8.0.0
time,Time,string,8,53410 - LOG_ID_CSF_TRUSTED_LIST_UPGRADED,53410,LOG_ID_CSF_TRUSTED_LIST_UPGRADED,A system.csf.trusted-list entry was changed during the upgrade,Event,system,Information,8.0.0
type,Log Type,string,16,53410 - LOG_ID_CSF_TRUSTED_LIST_UPGRADED,53410,LOG_ID_CSF_TRUSTED_LIST_UPGRADED,A system.csf.trusted-list entry was changed during the upgrade,Event,system,Information,8.0.0
tz,Time zone,string,5,53410 - LOG_ID_CSF_TRUSTED_LIST_UPGRADED,53410,LOG_ID_CSF_TRUSTED_LIST_UPGRADED,A system.csf.trusted-list entry was changed during the upgrade,Event,system,Information,8.0.0
vd,Virtual Domain Name,string,32,53410 - LOG_ID_CSF_TRUSTED_LIST_UPGRADED,53410,LOG_ID_CSF_TRUSTED_LIST_UPGRADED,A system.csf.trusted-list entry was changed during the upgrade,Event,system,Information,8.0.0
