Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,18,8223 - MESGID_MIME_ICB_NOTIF,8223,MESGID_MIME_ICB_NOTIF,MIME data reported infected by Inline Block (notice),Virus,inline-block,Notice,8.0.0
agent,,string,1024,8223 - MESGID_MIME_ICB_NOTIF,8223,MESGID_MIME_ICB_NOTIF,MIME data reported infected by Inline Block (notice),Virus,inline-block,Notice,8.0.0
analyticssubmit,,string,10,8223 - MESGID_MIME_ICB_NOTIF,8223,MESGID_MIME_ICB_NOTIF,MIME data reported infected by Inline Block (notice),Virus,inline-block,Notice,8.0.0
attachment,,string,3,8223 - MESGID_MIME_ICB_NOTIF,8223,MESGID_MIME_ICB_NOTIF,MIME data reported infected by Inline Block (notice),Virus,inline-block,Notice,8.0.0
authserver,,string,64,8223 - MESGID_MIME_ICB_NOTIF,8223,MESGID_MIME_ICB_NOTIF,MIME data reported infected by Inline Block (notice),Virus,inline-block,Notice,8.0.0
cc,,string,512,8223 - MESGID_MIME_ICB_NOTIF,8223,MESGID_MIME_ICB_NOTIF,MIME data reported infected by Inline Block (notice),Virus,inline-block,Notice,8.0.0
checksum,,string,16,8223 - MESGID_MIME_ICB_NOTIF,8223,MESGID_MIME_ICB_NOTIF,MIME data reported infected by Inline Block (notice),Virus,inline-block,Notice,8.0.0
craction,,uint32,10,8223 - MESGID_MIME_ICB_NOTIF,8223,MESGID_MIME_ICB_NOTIF,MIME data reported infected by Inline Block (notice),Virus,inline-block,Notice,8.0.0
crlevel,,string,10,8223 - MESGID_MIME_ICB_NOTIF,8223,MESGID_MIME_ICB_NOTIF,MIME data reported infected by Inline Block (notice),Virus,inline-block,Notice,8.0.0
crscore,,uint32,10,8223 - MESGID_MIME_ICB_NOTIF,8223,MESGID_MIME_ICB_NOTIF,MIME data reported infected by Inline Block (notice),Virus,inline-block,Notice,8.0.0
date,,string,10,8223 - MESGID_MIME_ICB_NOTIF,8223,MESGID_MIME_ICB_NOTIF,MIME data reported infected by Inline Block (notice),Virus,inline-block,Notice,8.0.0
devid,,string,16,8223 - MESGID_MIME_ICB_NOTIF,8223,MESGID_MIME_ICB_NOTIF,MIME data reported infected by Inline Block (notice),Virus,inline-block,Notice,8.0.0
direction,,string,8,8223 - MESGID_MIME_ICB_NOTIF,8223,MESGID_MIME_ICB_NOTIF,MIME data reported infected by Inline Block (notice),Virus,inline-block,Notice,8.0.0
dstauthserver,,string,64,8223 - MESGID_MIME_ICB_NOTIF,8223,MESGID_MIME_ICB_NOTIF,MIME data reported infected by Inline Block (notice),Virus,inline-block,Notice,8.0.0
