Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,11,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
agent,,string,1024,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
api,,string,4096,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
date,,string,10,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
devid,,string,16,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
dstintf,,string,32,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
dstintfrole,,string,10,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
dstip,,ip,39,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
dstport,,uint16,5,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
dstuuid,,string,37,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
dstzone,,string,32,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
eventtime,,uint64,20,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
eventtype,,string,32,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
group,,string,512,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
hostname,,string,256,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
httpmethod,,string,20,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
level,,string,11,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
llmserver,,string,36,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
logid,,string,10,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
model,,string,80,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
msg,,string,512,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
policyid,,uint32,10,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
policytype,,string,24,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
poluuid,,string,37,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
profile,,string,36,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
proto,,uint8,3,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
referralurl,,string,512,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
reqid,,string,80,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
sessionid,,uint32,10,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
srcintf,,string,32,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
srcintfrole,,string,10,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
srcip,,ip,39,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
srcport,,uint16,5,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
srcuuid,,string,37,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
srczone,,string,32,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
subtype,,string,20,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
time,,string,8,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
type,,string,16,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
tz,,string,5,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
url,,string,512,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
user,,string,256,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
vd,,string,32,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
vrf,,uint8,3,11001 - LOG_ID_LLM_ACCESS_BYPASS,11001,LOG_ID_LLM_ACCESS_BYPASS,LLM Proxy,LLM,llm,Information,8.0.1
