Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,11,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
agent,"User agent - eg. agent=""Mozilla/5.0""",string,64,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
date,,string,10,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
devid,,string,16,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
dstintf,,string,32,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
dstintfrole,,string,10,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
dstip,,ip,39,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
dstport,,uint16,5,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
dstuser,,string,256,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
dstzone,,string,32,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
eventtime,,uint64,20,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
eventtype,,string,32,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
group,,string,512,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
hostname,,string,256,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
httpmethod,,string,20,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
level,,string,11,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
logid,,string,10,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
msg,,string,512,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
policyid,,uint32,10,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
policytype,,string,24,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
poluuid,,string,37,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
profile,,string,64,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
profilegroup,,string,48,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
proto,,uint8,3,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
referralurl,Referrer URI,string,512,13712 - LOG_ID_VIDEOFILTER_TITLE_BLOCK,13712,LOG_ID_VIDEOFILTER_TITLE_BLOCK,Video title is blocked.,Webfilter,videofilter-title,Warning,8.0.1
