Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,22924 - LOG_ID_EVENT_VWL_VOLUME_STATUS,22924,LOG_ID_EVENT_VWL_VOLUME_STATUS,SD-WAN volume status,Event,sdwan,Notice,8.0.1
devid,Device ID,string,16,22924 - LOG_ID_EVENT_VWL_VOLUME_STATUS,22924,LOG_ID_EVENT_VWL_VOLUME_STATUS,SD-WAN volume status,Event,sdwan,Notice,8.0.1
eventtime,Event time,uint64,20,22924 - LOG_ID_EVENT_VWL_VOLUME_STATUS,22924,LOG_ID_EVENT_VWL_VOLUME_STATUS,SD-WAN volume status,Event,sdwan,Notice,8.0.1
eventtype,,string,48,22924 - LOG_ID_EVENT_VWL_VOLUME_STATUS,22924,LOG_ID_EVENT_VWL_VOLUME_STATUS,SD-WAN volume status,Event,sdwan,Notice,8.0.1
interface,Interface,string,32,22924 - LOG_ID_EVENT_VWL_VOLUME_STATUS,22924,LOG_ID_EVENT_VWL_VOLUME_STATUS,SD-WAN volume status,Event,sdwan,Notice,8.0.1
level,Log Level,string,11,22924 - LOG_ID_EVENT_VWL_VOLUME_STATUS,22924,LOG_ID_EVENT_VWL_VOLUME_STATUS,SD-WAN volume status,Event,sdwan,Notice,8.0.1
logdesc,Log Description,string,4096,22924 - LOG_ID_EVENT_VWL_VOLUME_STATUS,22924,LOG_ID_EVENT_VWL_VOLUME_STATUS,SD-WAN volume status,Event,sdwan,Notice,8.0.1
logid,Log ID,string,10,22924 - LOG_ID_EVENT_VWL_VOLUME_STATUS,22924,LOG_ID_EVENT_VWL_VOLUME_STATUS,SD-WAN volume status,Event,sdwan,Notice,8.0.1
member,,string,512,22924 - LOG_ID_EVENT_VWL_VOLUME_STATUS,22924,LOG_ID_EVENT_VWL_VOLUME_STATUS,SD-WAN volume status,Event,sdwan,Notice,8.0.1
msg,Log Message,string,4096,22924 - LOG_ID_EVENT_VWL_VOLUME_STATUS,22924,LOG_ID_EVENT_VWL_VOLUME_STATUS,SD-WAN volume status,Event,sdwan,Notice,8.0.1
subtype,Log Subtype,string,20,22924 - LOG_ID_EVENT_VWL_VOLUME_STATUS,22924,LOG_ID_EVENT_VWL_VOLUME_STATUS,SD-WAN volume status,Event,sdwan,Notice,8.0.1
time,Time,string,8,22924 - LOG_ID_EVENT_VWL_VOLUME_STATUS,22924,LOG_ID_EVENT_VWL_VOLUME_STATUS,SD-WAN volume status,Event,sdwan,Notice,8.0.1
type,Log Type,string,16,22924 - LOG_ID_EVENT_VWL_VOLUME_STATUS,22924,LOG_ID_EVENT_VWL_VOLUME_STATUS,SD-WAN volume status,Event,sdwan,Notice,8.0.1
tz,Time zone,string,5,22924 - LOG_ID_EVENT_VWL_VOLUME_STATUS,22924,LOG_ID_EVENT_VWL_VOLUME_STATUS,SD-WAN volume status,Event,sdwan,Notice,8.0.1
vd,Virtual Domain Name,string,32,22924 - LOG_ID_EVENT_VWL_VOLUME_STATUS,22924,LOG_ID_EVENT_VWL_VOLUME_STATUS,SD-WAN volume status,Event,sdwan,Notice,8.0.1
