Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,22943 - LOG_ID_EVENT_LINK_SYNC_GROUP,22943,LOG_ID_EVENT_LINK_SYNC_GROUP,Link sync group,Event,system,Notice,8.0.1
devid,Device ID,string,16,22943 - LOG_ID_EVENT_LINK_SYNC_GROUP,22943,LOG_ID_EVENT_LINK_SYNC_GROUP,Link sync group,Event,system,Notice,8.0.1
eventtime,Event time,uint64,20,22943 - LOG_ID_EVENT_LINK_SYNC_GROUP,22943,LOG_ID_EVENT_LINK_SYNC_GROUP,Link sync group,Event,system,Notice,8.0.1
group,User group Name,string,512,22943 - LOG_ID_EVENT_LINK_SYNC_GROUP,22943,LOG_ID_EVENT_LINK_SYNC_GROUP,Link sync group,Event,system,Notice,8.0.1
level,Log Level,string,11,22943 - LOG_ID_EVENT_LINK_SYNC_GROUP,22943,LOG_ID_EVENT_LINK_SYNC_GROUP,Link sync group,Event,system,Notice,8.0.1
logdesc,Log Description,string,4096,22943 - LOG_ID_EVENT_LINK_SYNC_GROUP,22943,LOG_ID_EVENT_LINK_SYNC_GROUP,Link sync group,Event,system,Notice,8.0.1
logid,Log ID,string,10,22943 - LOG_ID_EVENT_LINK_SYNC_GROUP,22943,LOG_ID_EVENT_LINK_SYNC_GROUP,Link sync group,Event,system,Notice,8.0.1
msg,Log Message,string,4096,22943 - LOG_ID_EVENT_LINK_SYNC_GROUP,22943,LOG_ID_EVENT_LINK_SYNC_GROUP,Link sync group,Event,system,Notice,8.0.1
status,Status,string,23,22943 - LOG_ID_EVENT_LINK_SYNC_GROUP,22943,LOG_ID_EVENT_LINK_SYNC_GROUP,Link sync group,Event,system,Notice,8.0.1
subtype,Log Subtype,string,20,22943 - LOG_ID_EVENT_LINK_SYNC_GROUP,22943,LOG_ID_EVENT_LINK_SYNC_GROUP,Link sync group,Event,system,Notice,8.0.1
time,Time,string,8,22943 - LOG_ID_EVENT_LINK_SYNC_GROUP,22943,LOG_ID_EVENT_LINK_SYNC_GROUP,Link sync group,Event,system,Notice,8.0.1
type,Log Type,string,16,22943 - LOG_ID_EVENT_LINK_SYNC_GROUP,22943,LOG_ID_EVENT_LINK_SYNC_GROUP,Link sync group,Event,system,Notice,8.0.1
tz,Time zone,string,5,22943 - LOG_ID_EVENT_LINK_SYNC_GROUP,22943,LOG_ID_EVENT_LINK_SYNC_GROUP,Link sync group,Event,system,Notice,8.0.1
vd,Virtual Domain Name,string,32,22943 - LOG_ID_EVENT_LINK_SYNC_GROUP,22943,LOG_ID_EVENT_LINK_SYNC_GROUP,Link sync group,Event,system,Notice,8.0.1
