Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,28870 - LOG_ID_FLCFGD_SYNC_ERROR_VOICE,28870,LOG_ID_FLCFGD_SYNC_ERROR_VOICE,Voice-Controller Voice Sync Error,Event,voice-controller,Error,8.0.1
devid,Device ID,string,16,28870 - LOG_ID_FLCFGD_SYNC_ERROR_VOICE,28870,LOG_ID_FLCFGD_SYNC_ERROR_VOICE,Voice-Controller Voice Sync Error,Event,voice-controller,Error,8.0.1
eventtime,Event time,uint64,20,28870 - LOG_ID_FLCFGD_SYNC_ERROR_VOICE,28870,LOG_ID_FLCFGD_SYNC_ERROR_VOICE,Voice-Controller Voice Sync Error,Event,voice-controller,Error,8.0.1
level,Log Level,string,11,28870 - LOG_ID_FLCFGD_SYNC_ERROR_VOICE,28870,LOG_ID_FLCFGD_SYNC_ERROR_VOICE,Voice-Controller Voice Sync Error,Event,voice-controller,Error,8.0.1
logdesc,Log Description,string,4096,28870 - LOG_ID_FLCFGD_SYNC_ERROR_VOICE,28870,LOG_ID_FLCFGD_SYNC_ERROR_VOICE,Voice-Controller Voice Sync Error,Event,voice-controller,Error,8.0.1
logid,Log ID,string,10,28870 - LOG_ID_FLCFGD_SYNC_ERROR_VOICE,28870,LOG_ID_FLCFGD_SYNC_ERROR_VOICE,Voice-Controller Voice Sync Error,Event,voice-controller,Error,8.0.1
msg,Log Message,string,4096,28870 - LOG_ID_FLCFGD_SYNC_ERROR_VOICE,28870,LOG_ID_FLCFGD_SYNC_ERROR_VOICE,Voice-Controller Voice Sync Error,Event,voice-controller,Error,8.0.1
name,,string,128,28870 - LOG_ID_FLCFGD_SYNC_ERROR_VOICE,28870,LOG_ID_FLCFGD_SYNC_ERROR_VOICE,Voice-Controller Voice Sync Error,Event,voice-controller,Error,8.0.1
sn,,string,64,28870 - LOG_ID_FLCFGD_SYNC_ERROR_VOICE,28870,LOG_ID_FLCFGD_SYNC_ERROR_VOICE,Voice-Controller Voice Sync Error,Event,voice-controller,Error,8.0.1
subtype,Log Subtype,string,20,28870 - LOG_ID_FLCFGD_SYNC_ERROR_VOICE,28870,LOG_ID_FLCFGD_SYNC_ERROR_VOICE,Voice-Controller Voice Sync Error,Event,voice-controller,Error,8.0.1
time,Time,string,8,28870 - LOG_ID_FLCFGD_SYNC_ERROR_VOICE,28870,LOG_ID_FLCFGD_SYNC_ERROR_VOICE,Voice-Controller Voice Sync Error,Event,voice-controller,Error,8.0.1
type,Log Type,string,16,28870 - LOG_ID_FLCFGD_SYNC_ERROR_VOICE,28870,LOG_ID_FLCFGD_SYNC_ERROR_VOICE,Voice-Controller Voice Sync Error,Event,voice-controller,Error,8.0.1
tz,Time zone,string,5,28870 - LOG_ID_FLCFGD_SYNC_ERROR_VOICE,28870,LOG_ID_FLCFGD_SYNC_ERROR_VOICE,Voice-Controller Voice Sync Error,Event,voice-controller,Error,8.0.1
ui,,string,64,28870 - LOG_ID_FLCFGD_SYNC_ERROR_VOICE,28870,LOG_ID_FLCFGD_SYNC_ERROR_VOICE,Voice-Controller Voice Sync Error,Event,voice-controller,Error,8.0.1
user,User name of authenticated user,string,256,28870 - LOG_ID_FLCFGD_SYNC_ERROR_VOICE,28870,LOG_ID_FLCFGD_SYNC_ERROR_VOICE,Voice-Controller Voice Sync Error,Event,voice-controller,Error,8.0.1
vd,Virtual Domain Name,string,32,28870 - LOG_ID_FLCFGD_SYNC_ERROR_VOICE,28870,LOG_ID_FLCFGD_SYNC_ERROR_VOICE,Voice-Controller Voice Sync Error,Event,voice-controller,Error,8.0.1
