Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,28872 - LOG_ID_FLCFGD_SYNC_STATE_VOICE,28872,LOG_ID_FLCFGD_SYNC_STATE_VOICE,Voice-Controller Voice Sync State,Event,voice-controller,Debug,8.0.1
devid,Device ID,string,16,28872 - LOG_ID_FLCFGD_SYNC_STATE_VOICE,28872,LOG_ID_FLCFGD_SYNC_STATE_VOICE,Voice-Controller Voice Sync State,Event,voice-controller,Debug,8.0.1
eventtime,Event time,uint64,20,28872 - LOG_ID_FLCFGD_SYNC_STATE_VOICE,28872,LOG_ID_FLCFGD_SYNC_STATE_VOICE,Voice-Controller Voice Sync State,Event,voice-controller,Debug,8.0.1
level,Log Level,string,11,28872 - LOG_ID_FLCFGD_SYNC_STATE_VOICE,28872,LOG_ID_FLCFGD_SYNC_STATE_VOICE,Voice-Controller Voice Sync State,Event,voice-controller,Debug,8.0.1
logdesc,Log Description,string,4096,28872 - LOG_ID_FLCFGD_SYNC_STATE_VOICE,28872,LOG_ID_FLCFGD_SYNC_STATE_VOICE,Voice-Controller Voice Sync State,Event,voice-controller,Debug,8.0.1
logid,Log ID,string,10,28872 - LOG_ID_FLCFGD_SYNC_STATE_VOICE,28872,LOG_ID_FLCFGD_SYNC_STATE_VOICE,Voice-Controller Voice Sync State,Event,voice-controller,Debug,8.0.1
msg,Log Message,string,4096,28872 - LOG_ID_FLCFGD_SYNC_STATE_VOICE,28872,LOG_ID_FLCFGD_SYNC_STATE_VOICE,Voice-Controller Voice Sync State,Event,voice-controller,Debug,8.0.1
name,,string,128,28872 - LOG_ID_FLCFGD_SYNC_STATE_VOICE,28872,LOG_ID_FLCFGD_SYNC_STATE_VOICE,Voice-Controller Voice Sync State,Event,voice-controller,Debug,8.0.1
sn,,string,64,28872 - LOG_ID_FLCFGD_SYNC_STATE_VOICE,28872,LOG_ID_FLCFGD_SYNC_STATE_VOICE,Voice-Controller Voice Sync State,Event,voice-controller,Debug,8.0.1
subtype,Log Subtype,string,20,28872 - LOG_ID_FLCFGD_SYNC_STATE_VOICE,28872,LOG_ID_FLCFGD_SYNC_STATE_VOICE,Voice-Controller Voice Sync State,Event,voice-controller,Debug,8.0.1
time,Time,string,8,28872 - LOG_ID_FLCFGD_SYNC_STATE_VOICE,28872,LOG_ID_FLCFGD_SYNC_STATE_VOICE,Voice-Controller Voice Sync State,Event,voice-controller,Debug,8.0.1
type,Log Type,string,16,28872 - LOG_ID_FLCFGD_SYNC_STATE_VOICE,28872,LOG_ID_FLCFGD_SYNC_STATE_VOICE,Voice-Controller Voice Sync State,Event,voice-controller,Debug,8.0.1
tz,Time zone,string,5,28872 - LOG_ID_FLCFGD_SYNC_STATE_VOICE,28872,LOG_ID_FLCFGD_SYNC_STATE_VOICE,Voice-Controller Voice Sync State,Event,voice-controller,Debug,8.0.1
ui,,string,64,28872 - LOG_ID_FLCFGD_SYNC_STATE_VOICE,28872,LOG_ID_FLCFGD_SYNC_STATE_VOICE,Voice-Controller Voice Sync State,Event,voice-controller,Debug,8.0.1
user,User name of authenticated user,string,256,28872 - LOG_ID_FLCFGD_SYNC_STATE_VOICE,28872,LOG_ID_FLCFGD_SYNC_STATE_VOICE,Voice-Controller Voice Sync State,Event,voice-controller,Debug,8.0.1
vd,Virtual Domain Name,string,32,28872 - LOG_ID_FLCFGD_SYNC_STATE_VOICE,28872,LOG_ID_FLCFGD_SYNC_STATE_VOICE,Voice-Controller Voice Sync State,Event,voice-controller,Debug,8.0.1
