Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,35018 - LOG_ID_HA_SYNC_CMD,35018,LOG_ID_HA_SYNC_CMD,HA secondary received CLI commands,Event,ha,Information,8.0.1
devid,Device ID,string,16,35018 - LOG_ID_HA_SYNC_CMD,35018,LOG_ID_HA_SYNC_CMD,HA secondary received CLI commands,Event,ha,Information,8.0.1
eventtime,Event time,uint64,20,35018 - LOG_ID_HA_SYNC_CMD,35018,LOG_ID_HA_SYNC_CMD,HA secondary received CLI commands,Event,ha,Information,8.0.1
level,Log Level,string,11,35018 - LOG_ID_HA_SYNC_CMD,35018,LOG_ID_HA_SYNC_CMD,HA secondary received CLI commands,Event,ha,Information,8.0.1
logdesc,Log Description,string,4096,35018 - LOG_ID_HA_SYNC_CMD,35018,LOG_ID_HA_SYNC_CMD,HA secondary received CLI commands,Event,ha,Information,8.0.1
logid,Log ID,string,10,35018 - LOG_ID_HA_SYNC_CMD,35018,LOG_ID_HA_SYNC_CMD,HA secondary received CLI commands,Event,ha,Information,8.0.1
msg,Log Message,string,4096,35018 - LOG_ID_HA_SYNC_CMD,35018,LOG_ID_HA_SYNC_CMD,HA secondary received CLI commands,Event,ha,Information,8.0.1
subtype,Log Subtype,string,20,35018 - LOG_ID_HA_SYNC_CMD,35018,LOG_ID_HA_SYNC_CMD,HA secondary received CLI commands,Event,ha,Information,8.0.1
time,Time,string,8,35018 - LOG_ID_HA_SYNC_CMD,35018,LOG_ID_HA_SYNC_CMD,HA secondary received CLI commands,Event,ha,Information,8.0.1
type,Log Type,string,16,35018 - LOG_ID_HA_SYNC_CMD,35018,LOG_ID_HA_SYNC_CMD,HA secondary received CLI commands,Event,ha,Information,8.0.1
tz,Time zone,string,5,35018 - LOG_ID_HA_SYNC_CMD,35018,LOG_ID_HA_SYNC_CMD,HA secondary received CLI commands,Event,ha,Information,8.0.1
ui,User Interface,string,64,35018 - LOG_ID_HA_SYNC_CMD,35018,LOG_ID_HA_SYNC_CMD,HA secondary received CLI commands,Event,ha,Information,8.0.1
user,User name of authenticated user,string,256,35018 - LOG_ID_HA_SYNC_CMD,35018,LOG_ID_HA_SYNC_CMD,HA secondary received CLI commands,Event,ha,Information,8.0.1
vd,Virtual Domain Name,string,32,35018 - LOG_ID_HA_SYNC_CMD,35018,LOG_ID_HA_SYNC_CMD,HA secondary received CLI commands,Event,ha,Information,8.0.1
