Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
advpnsc,,uint8,3,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
assignip,IPsec VPN tunnel assigned IP address,ip,39,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
cookies,Cookie,string,64,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
date,Date,string,10,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
devid,Device ID,string,16,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
eapauthgroup,,string,128,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
eapuser,,string,256,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
eventtime,Event time,uint64,20,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
fctuid,,string,32,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
group,User group Name,string,512,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
level,Log Level,string,11,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
locip,IPsec VPN local gateway IP address,ip,39,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
locport,Local Port,uint16,5,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
logdesc,Log Description,string,4096,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
logid,Log ID,string,10,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
msg,Log Message,string,4096,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
outintf,IPsec VPN binding interface,string,32,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
remip,IPsec VPN remote gateway IP address,ip,39,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
remport,Remote Port,uint16,5,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
subtype,Log Subtype,string,20,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
time,Time,string,8,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
type,Log Type,string,16,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
tz,Time zone,string,5,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
user,User name of authenticated user,string,256,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
useralt,,string,256,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
vd,Virtual Domain Name,string,32,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
vpntunnel,IPsec VPN Tunnel Name,string,128,37142 - MESGID_TRANSPORT_SWITCH,37142,MESGID_TRANSPORT_SWITCH,IPsec auto transport switched,Event,vpn,Notice,8.0.1
