Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
authid,,string,36,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
authproto,The protocol that initiated the authentication,string,512,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
date,Date,string,10,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
devid,Device ID,string,16,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
dstip,Destination IP,ip,39,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
eventtime,Event time,uint64,20,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
group,User group Name,string,512,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
level,Log Level,string,11,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
logdesc,Log Description,string,4096,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
logid,Log ID,string,10,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
method,Method,string,64,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
msg,Log Message,string,4096,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
proxytype,,string,32,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
reason,Reason,string,256,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
srcip,Source IP,ip,39,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
status,Status,string,23,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
subtype,Log Subtype,string,20,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
time,Time,string,8,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
type,Log Type,string,16,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
tz,Time zone,string,5,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
url,URL,string,512,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
user,User name of authenticated user,string,256,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
vd,Virtual Domain Name,string,32,43025 - LOG_ID_EVENT_AUTH_PROXY_SUCCESS,43025,LOG_ID_EVENT_AUTH_PROXY_SUCCESS,Proxy authentication successful,Event,user,Notice,8.0.1
