Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43057 - LOG_ID_EVENT_SCIM_EVENT,43057,LOG_ID_EVENT_SCIM_EVENT,SCIM API request,Event,user,Notice,8.0.1
devid,Device ID,string,16,43057 - LOG_ID_EVENT_SCIM_EVENT,43057,LOG_ID_EVENT_SCIM_EVENT,SCIM API request,Event,user,Notice,8.0.1
eventtime,Event time,uint64,20,43057 - LOG_ID_EVENT_SCIM_EVENT,43057,LOG_ID_EVENT_SCIM_EVENT,SCIM API request,Event,user,Notice,8.0.1
level,Log Level,string,11,43057 - LOG_ID_EVENT_SCIM_EVENT,43057,LOG_ID_EVENT_SCIM_EVENT,SCIM API request,Event,user,Notice,8.0.1
logdesc,Log Description,string,4096,43057 - LOG_ID_EVENT_SCIM_EVENT,43057,LOG_ID_EVENT_SCIM_EVENT,SCIM API request,Event,user,Notice,8.0.1
logid,Log ID,string,10,43057 - LOG_ID_EVENT_SCIM_EVENT,43057,LOG_ID_EVENT_SCIM_EVENT,SCIM API request,Event,user,Notice,8.0.1
msg,Log Message,string,4096,43057 - LOG_ID_EVENT_SCIM_EVENT,43057,LOG_ID_EVENT_SCIM_EVENT,SCIM API request,Event,user,Notice,8.0.1
subtype,Log Subtype,string,20,43057 - LOG_ID_EVENT_SCIM_EVENT,43057,LOG_ID_EVENT_SCIM_EVENT,SCIM API request,Event,user,Notice,8.0.1
time,Time,string,8,43057 - LOG_ID_EVENT_SCIM_EVENT,43057,LOG_ID_EVENT_SCIM_EVENT,SCIM API request,Event,user,Notice,8.0.1
type,Log Type,string,16,43057 - LOG_ID_EVENT_SCIM_EVENT,43057,LOG_ID_EVENT_SCIM_EVENT,SCIM API request,Event,user,Notice,8.0.1
tz,Time zone,string,5,43057 - LOG_ID_EVENT_SCIM_EVENT,43057,LOG_ID_EVENT_SCIM_EVENT,SCIM API request,Event,user,Notice,8.0.1
vd,Virtual Domain Name,string,32,43057 - LOG_ID_EVENT_SCIM_EVENT,43057,LOG_ID_EVENT_SCIM_EVENT,SCIM API request,Event,user,Notice,8.0.1
