Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
ap,Access Point,string,36,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
date,Date,string,10,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
devid,Device ID,string,16,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
eventtime,Event time,uint64,20,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
ip,,ip,39,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
level,Log Level,string,11,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
logdesc,Log Description,string,4096,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
logid,Log ID,string,10,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
meshmode,Mesh mode,string,19,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
msg,Log Message,string,4096,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
profile,Profile Name,string,64,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
reason,Reason,string,256,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
sn,Serial Number,string,64,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
snmeshparent,SN of the mesh parent,string,36,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
subtype,Log Subtype,string,20,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
time,Time,string,8,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
type,Log Type,string,16,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
tz,Time zone,string,5,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
vd,Virtual Domain Name,string,32,43729 - LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,43729,LOG_ID_EVENT_WIRELESS_WTP_AUTO_GEN_CERT_SUCC,Wireless controller certificate auto generation succeed,Event,wireless,Notice,8.0.1
