Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
certpem,,string,4096,53409 - LOG_ID_CSF_TRUSTED_LIST_REMOVED,53409,LOG_ID_CSF_TRUSTED_LIST_REMOVED,A system.csf.trusted-list entry was deleted during the upgrade,Event,system,Information,8.0.1
date,Date,string,10,53409 - LOG_ID_CSF_TRUSTED_LIST_REMOVED,53409,LOG_ID_CSF_TRUSTED_LIST_REMOVED,A system.csf.trusted-list entry was deleted during the upgrade,Event,system,Information,8.0.1
devid,Device ID,string,16,53409 - LOG_ID_CSF_TRUSTED_LIST_REMOVED,53409,LOG_ID_CSF_TRUSTED_LIST_REMOVED,A system.csf.trusted-list entry was deleted during the upgrade,Event,system,Information,8.0.1
eventtime,Event time,uint64,20,53409 - LOG_ID_CSF_TRUSTED_LIST_REMOVED,53409,LOG_ID_CSF_TRUSTED_LIST_REMOVED,A system.csf.trusted-list entry was deleted during the upgrade,Event,system,Information,8.0.1
level,Log Level,string,11,53409 - LOG_ID_CSF_TRUSTED_LIST_REMOVED,53409,LOG_ID_CSF_TRUSTED_LIST_REMOVED,A system.csf.trusted-list entry was deleted during the upgrade,Event,system,Information,8.0.1
logdesc,Log Description,string,4096,53409 - LOG_ID_CSF_TRUSTED_LIST_REMOVED,53409,LOG_ID_CSF_TRUSTED_LIST_REMOVED,A system.csf.trusted-list entry was deleted during the upgrade,Event,system,Information,8.0.1
logid,Log ID,string,10,53409 - LOG_ID_CSF_TRUSTED_LIST_REMOVED,53409,LOG_ID_CSF_TRUSTED_LIST_REMOVED,A system.csf.trusted-list entry was deleted during the upgrade,Event,system,Information,8.0.1
msg,Log Message,string,4096,53409 - LOG_ID_CSF_TRUSTED_LIST_REMOVED,53409,LOG_ID_CSF_TRUSTED_LIST_REMOVED,A system.csf.trusted-list entry was deleted during the upgrade,Event,system,Information,8.0.1
name,Display Name of the Connection,string,128,53409 - LOG_ID_CSF_TRUSTED_LIST_REMOVED,53409,LOG_ID_CSF_TRUSTED_LIST_REMOVED,A system.csf.trusted-list entry was deleted during the upgrade,Event,system,Information,8.0.1
sn,Serial Number,string,64,53409 - LOG_ID_CSF_TRUSTED_LIST_REMOVED,53409,LOG_ID_CSF_TRUSTED_LIST_REMOVED,A system.csf.trusted-list entry was deleted during the upgrade,Event,system,Information,8.0.1
subtype,Log Subtype,string,20,53409 - LOG_ID_CSF_TRUSTED_LIST_REMOVED,53409,LOG_ID_CSF_TRUSTED_LIST_REMOVED,A system.csf.trusted-list entry was deleted during the upgrade,Event,system,Information,8.0.1
time,Time,string,8,53409 - LOG_ID_CSF_TRUSTED_LIST_REMOVED,53409,LOG_ID_CSF_TRUSTED_LIST_REMOVED,A system.csf.trusted-list entry was deleted during the upgrade,Event,system,Information,8.0.1
type,Log Type,string,16,53409 - LOG_ID_CSF_TRUSTED_LIST_REMOVED,53409,LOG_ID_CSF_TRUSTED_LIST_REMOVED,A system.csf.trusted-list entry was deleted during the upgrade,Event,system,Information,8.0.1
tz,Time zone,string,5,53409 - LOG_ID_CSF_TRUSTED_LIST_REMOVED,53409,LOG_ID_CSF_TRUSTED_LIST_REMOVED,A system.csf.trusted-list entry was deleted during the upgrade,Event,system,Information,8.0.1
vd,Virtual Domain Name,string,32,53409 - LOG_ID_CSF_TRUSTED_LIST_REMOVED,53409,LOG_ID_CSF_TRUSTED_LIST_REMOVED,A system.csf.trusted-list entry was deleted during the upgrade,Event,system,Information,8.0.1
