Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,20,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,SSL connection information,SSL,ssl-negotiation,Information,8.0.1
armtype,,string,16,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,SSL connection information,SSL,ssl-negotiation,Information,8.0.1
authalgo,,string,7,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,SSL connection information,SSL,ssl-negotiation,Information,8.0.1
certhash,,string,40,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,SSL connection information,SSL,ssl-negotiation,Information,8.0.1
cipher,,string,64,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,SSL connection information,SSL,ssl-negotiation,Information,8.0.1
cn,,string,64,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,SSL connection information,SSL,ssl-negotiation,Information,8.0.1
date,,string,10,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,SSL connection information,SSL,ssl-negotiation,Information,8.0.1
devid,,string,16,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,SSL connection information,SSL,ssl-negotiation,Information,8.0.1
dstcountry,,string,64,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,SSL connection information,SSL,ssl-negotiation,Information,8.0.1
dstintf,,string,32,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,SSL connection information,SSL,ssl-negotiation,Information,8.0.1
